student_id	semester	course_id	staff_id	normal_ score	test_ score	total_score
1101	2012-2013秋季	08305001	0103	60	60	60
1102	2012-2013秋季	08305001	0103	87	87	87
1102	2012-2013冬季	08305002	0101	82	82	82
1102	2013-2014秋季	08305004	0101	null	null	null
1103	2012-2013秋季	08305001	0103	56	56	56
1103	2012-2013冬季	08305002	0102	75	75	75
1103	2012-2013冬季	08305003	0102	84	84	84
1103	2013-2014秋季	08305001	0102	null	null	null
1103	2013-2014秋季	08305004	0101	null	null	null
1104	2012-2013秋季	08305001	0103	74	74	74
1104	2013-2014冬季	08302001	0201	null	null	null
1106	2012-2013秋季	08305001	0103	85	85	85
1106	2012-2013冬季	08305002	0103	66	66	66
1107	2012-2013秋季	08305001	0103	90	90	90
1107	2012-2013冬季	08305003	0102	79	79	79
1107	2013-2014秋季	08305004	0101	null	null	null
